id,normal_1,normal_2,day1_1,day1_2,day2_1,day2_2,day7_1,day7_2,day14_1,day14_2
ENSMUSG00000037686,531.268,651.72,335.591,334.846,197.174,307.194,123.206,272.619,93.7247,196.159
ENSMUSG00000027831,221.602,266.359,175.409,159.419,234.808,256.927,149.938,315.059,110.588,126.36
ENSMUSG00000039201,26.0723,29.1331,57.7329,45.8475,81.6009,88.87,29.856,44.5586,13.6292,27.6568
ENSMUSG00000031095,4363.05,4784.08,4064.48,3917.29,4599.03,5957.03,2806.52,6792.09,2022.51,3226.75
ENSMUSG00000034931,879.279,1065.39,914.287,928.276,1000.1,1264.27,738.352,1362.07,466.444,714.587
ENSMUSG00000038208,68.2225,89.8871,57.9041,76.351,84.8474,105.245,72.8696,138.981,40.8101,59.2117
ENSMUSG00000074582,6636.69,8010.67,6029.93,6215.89,6324.37,7996.1,3899.42,7851.88,2594.37,4446.14
ENSMUSG00000018363,197.474,254.903,260.008,229.53,222.079,299.678,143.585,309.76,106.426,183.47
ENSMUSG00000053580,1350.27,1849.15,1052.15,995.539,864.276,1074.06,588.489,1108.74,530.884,896.935
ENSMUSG00000034621,367.403,496.718,389.289,285.119,462.409,431.722,288.092,635.13,225.34,344.775
ENSMUSG00000020687,304.814,438.867,368.74,378.299,527.789,595.888,292.982,550.351,197.961,321.507
ENSMUSG00000042446,88.0664,88.1754,98.9362,86.6672,114.952,127.736,91.2536,167.086,58.0008,85.8415
ENSMUSG00000020758,529.365,671.725,989.61,1139.39,2193.28,2251.2,1283.57,2839.34,679.153,1024.45
ENSMUSG00000005045,2973.51,4066.74,2992.88,3279.8,3135.72,3873.74,2046.66,4133.95,1343.35,2346.85
ENSMUSG00000033295,3520.43,4631.85,2005.99,2015.87,2507.56,2998.83,1708.29,3044.61,1347.44,2197.47
ENSMUSG00000044700,885.661,1082.08,821.731,792.339,894.502,838.272,728.455,1170.36,441.424,959.594
ENSMUSG00000028559,2467.05,3353.77,2369.24,2516.22,2137.24,3035.07,1559.92,3203.79,1110.22,1781.69
ENSMUSG00000039410,139.498,189.079,92.6001,88.2141,123.103,130.644,118.553,214.542,92.4863,131.373
ENSMUSG00000078612,52.4532,66.7033,109.041,75.1716,101.471,160.112,112.408,158.053,57.4755,50.5257
ENSMUSG00000033253,116.665,140.391,116.266,108.481,127.209,141.916,75.5196,147.429,50.2194,86.5972
ENSMUSG00000037600,30.2841,49.4533,25.0076,18.4399,18.009,23.5153,11.971,27.8181,9.82554,15.9558
ENSMUSG00000037270,283.982,424.758,235.765,259.441,316.612,342.831,134.807,273.18,94.5864,209.316
ENSMUSG00000040711,149.447,170.102,151.765,159.615,249.48,294.171,216.065,425.807,131.188,269.11
ENSMUSG00000034255,550.338,764.632,510.532,520.926,527.209,748.294,464.437,943.316,294.267,478.397
ENSMUSG00000064127,472.159,485.896,495.481,447.241,565.723,733.353,361.027,744.417,228.042,385.72
ENSMUSG00000040740,206.303,241.465,165.431,164.437,128.33,180.878,62.5609,152.161,54.5367,113.423
ENSMUSG00000078515,3180,4095.34,3184.1,3446.72,3512.3,4597.65,2314.87,4782.94,1594.35,2425.18
ENSMUSG00000031093,434.382,569.732,347.856,354.819,425.035,446.786,223.871,600.676,175.038,483.216
ENSMUSG00000079487,455.566,532.915,514.954,464.901,577.144,650.554,399.791,718.378,254.186,425.555
ENSMUSG00000040549,5173.25,6744.69,5129.97,5394.18,6225.39,7887.55,3663.67,7251.2,2424.31,3931.08
ENSMUSG00000040506,69.9331,95.4867,92.8597,78.8972,83.9282,97.6847,44.292,95.2783,38.6662,61.39
ENSMUSG00000026933,125.858,182.239,140.869,133.676,164.138,218.861,103.341,192.024,62.3586,118.845
ENSMUSG00000037703,708.757,1004.43,454.761,505.475,461.437,592.579,355.065,676.386,294.888,476.331
ENSMUSG00000006471,302.934,428.119,315.378,294.799,348.768,435.621,235.254,465.941,134.748,217.135
ENSMUSG00000048707,1732.97,2532.92,2546.51,2395.89,2768.82,3186.35,1559.76,3493.05,814.513,1306.49
ENSMUSG00000040272,440.494,559.486,357.87,372.146,357.138,488.012,311.067,689.457,231.222,378.498
ENSMUSG00000050323,546.454,712.827,451.812,482.436,392.299,560.953,272.172,435.623,189.61,276.007
ENSMUSG00000040720,594.226,752.486,666.555,611.073,791.027,932.66,517.492,1101.6,326.199,526.617
ENSMUSG00000026927,71.7857,124.589,79.2816,78.9657,59.6834,92.0642,55.6871,105.365,35.5356,48.0077
ENSMUSG00000036646,848.334,1035.52,828.302,842.471,1017.28,1375.34,747.423,1546.51,460.353,745.343
ENSMUSG00000036833,1426.68,1906.17,1031.15,1143.84,1113.93,1466.26,700.627,1555.38,471.956,853.666
ENSMUSG00000028849,384.808,530.422,578.283,501.917,781.942,885.725,528.441,1045.48,338.241,492.466
ENSMUSG00000028573,7368.96,9214.71,5834.91,6046.74,3517.24,5597.35,2014.37,3873.52,1530.28,3399.23
ENSMUSG00000074796,19.9116,17.3684,16.3191,14.7569,21.3243,19.6844,26.7966,35.6987,17.6397,19.2651
ENSMUSG00000045205,364.994,401.923,311.6,304.531,288.385,461.26,254.474,501.762,192.995,502.963
ENSMUSG00000028248,170.851,214.859,174.248,124.658,158.336,218.103,112.057,262.29,75.585,111.058
ENSMUSG00000038368,2015.24,2550.8,1906.95,1899.31,2081.34,2573.62,1168.53,2340.37,765.82,1425.48
ENSMUSG00000070985,4300.44,6142.37,3555.91,4431.97,3343.14,4142.67,1583.7,4510.07,1438.43,1873.62
ENSMUSG00000075272,152.969,143.568,115.551,71.3365,75.1419,111.308,38.1314,91.9002,23.1175,81.5715
ENSMUSG00000043535,323.644,310.091,277.922,175.584,176.653,274.424,73.9412,270.217,66.9286,152.801
ENSMUSG00000038764,452.133,624.646,425.774,418.359,450.15,489.981,259.587,520.882,201.561,374.408
ENSMUSG00000041351,1810.87,2139.48,993.266,993.678,703.823,909.056,572.704,888.57,604.187,938.405
ENSMUSG00000045180,1034.69,1634.35,899.167,887.832,1074.96,1302.56,686.183,1558.23,482.889,776.799
ENSMUSG00000070972,44.515,53.0777,38.2183,43.975,51.9799,57.0741,28.4559,66.5961,26.1466,48.651
ENSMUSG00000066036,12993.7,16366.6,13153.7,14241.1,14319.8,18435.4,8176.82,17224,5615.5,9355.72
ENSMUSG00000027469,43.0207,72.0244,36.3066,45.2684,118.645,137.211,33.6886,81.1567,23.4326,54.2043
ENSMUSG00000078234,2212.27,2822.36,1648.7,1667.49,1529.97,1898.17,1124.11,2183.03,841.914,1454.98
ENSMUSG00000036053,1487.65,1866.73,1251.78,1382.08,1677.01,1925.74,1360.26,2605.34,938.292,1321.44
ENSMUSG00000027384,1020.5,1427.45,811.139,823.419,610.488,823.134,407.641,824.222,327.894,587.053
ENSMUSG00000016255,1572.6,2005.7,1432.25,1803.54,1964.46,2258.03,1499.06,2177.92,873.361,1033.52
ENSMUSG00000027304,1004.65,1239.4,1015.41,1018.36,1348.39,1605.72,945.407,1855.32,624.209,926.933
ENSMUSG00000036617,2399.84,3175.07,2269.9,2191.99,2788.49,3367.21,2515.13,4428.8,1636,2222.32
ENSMUSG00000031303,672.314,906.146,536.898,566.174,483.785,675.69,380.868,751.825,309.847,416.467
ENSMUSG00000042133,1085.61,1294.19,1037.97,1170.58,1308.32,1633.31,1245.38,2491.38,729.062,1046.2
ENSMUSG00000026768,1195.31,1234.05,667.894,678.036,642.296,825.723,700.94,1322.76,437.736,572.553
ENSMUSG00000033526,715.529,1046.7,758.29,820.973,1031.23,1078.87,557.82,1125.34,358.016,661.867
ENSMUSG00000027070,76944.6,90713.8,54210.7,57310,29633.5,46264.9,16820.7,32889.1,15984.8,30622.9
ENSMUSG00000040706,426.252,688.428,366.712,461.879,240.949,300.297,117.68,277.167,83.0856,180.508
ENSMUSG00000051747,920.802,1286.4,869.038,1018.71,872.676,1044.58,448.738,897.6,296.965,536.806
ENSMUSG00000026819,1193.08,1802.15,823.186,903.675,618.337,856.11,376.911,727.609,296.446,608.63
ENSMUSG00000025815,11141.7,14362.4,9768.09,9705.81,5591.42,7482.83,2768.43,5751.15,2412.41,5257.58
ENSMUSG00000068394,769.109,999.437,556.748,304.476,281.167,392.091,89.4303,362.386,122.896,349.157
ENSMUSG00000027074,255.958,310.877,208.171,218.008,228.255,319.493,205.023,534.687,166.429,196.391
ENSMUSG00000035437,4173.07,4651.21,3465.12,3450.48,3651.32,4676.9,3210.07,5774.77,1841.97,2852.01
ENSMUSG00000040964,1155.85,1378.07,1537.51,1583.33,1697.23,1991.8,1253.36,2126.26,709.619,1093.54
ENSMUSG00000074576,1245.08,1456.1,1272.81,1237.76,1175.82,1529.93,743.478,1408.19,495.964,792.076
ENSMUSG00000057421,1005.22,1251.71,1152.03,1230.32,1519.22,1745.17,1038.08,2098.9,628.573,1050.56
ENSMUSG00000007880,1347.96,1908.57,1558.39,1438.6,1942.55,2359.09,1675.16,3398.8,1131.93,1627.94
ENSMUSG00000061751,365.281,367.741,296.627,279.627,313.644,371.162,296.988,463.428,187.53,214.034
ENSMUSG00000039219,206.331,276.599,200.1,201.331,248.946,286.048,181.365,333.672,114.491,195.453
ENSMUSG00000019951,2155.54,2895.85,1978.72,1906.7,1873.91,2282.73,1118.64,2278.84,833.668,1465.15
ENSMUSG00000030313,912.807,1111.29,815.44,819.766,950.841,1158.76,501.423,1053.57,366.47,678.922
ENSMUSG00000048495,26.7686,71.0515,43.767,40.5198,47.2544,44.8791,6.80394,21.4234,7.21848,39.3799
ENSMUSG00000010453,101.839,121.588,85.2832,93.8095,110.03,133.919,85.7912,179.472,67.41,98.512200000000007
ENSMUSG00000053286,1160.21,1414.63,1048.74,1121.63,1350.96,1781.62,889.896,1726.98,633.231,896.567
ENSMUSG00000036661,784.714,866.675,768.189,753.539,779.8,966.71,440.791,1062.56,333.278,583.357
ENSMUSG00000047986,2404.63,4127.05,2857.41,2132.44,2088.35,2712.27,988.446,2170.36,746.891,1612.28
ENSMUSG00000057133,270.207,315.91,244.574,265.412,324.048,350.383,300.416,401.428,158.841,212.3
ENSMUSG00000054958,56.7652,75.5867,94.1885,101.6,136.724,154.251,91.9433,207.805,50.0344,82.2758
ENSMUSG00000042473,3069.88,4335.69,3122.07,2993.45,3014.86,3559.45,1777.31,3584.56,1305.06,2193.25
ENSMUSG00000037110,1131.86,1399.81,1060.14,996.242,1074.61,1213.02,618.731,1199.37,412.928,747.401
ENSMUSG00000035944,2599.42,3099.5,1917.5,2046.53,1593.43,2201.39,1265.68,2505.9,950.413,1410.43
ENSMUSG00000068245,138.114,191.036,122.798,115.773,142.637,266.065,87.7187,149.824,74.1109,122.08
ENSMUSG00000021311,1810.56,2394.35,1487.31,1537.5,1673.58,2151.95,1134.81,2136.5,754.587,1388.9
ENSMUSG00000033769,1353.72,1736.14,1524.97,1490.31,1821.34,2151.1,1271.81,2870.28,795.971,1221.05
ENSMUSG00000021993,3271.74,4223.44,2583.99,2556.22,2331.02,2841.69,1149.38,2282.86,991.655,1974.23
ENSMUSG00000038611,395.788,455.62,502.245,372.71,377.108,449.791,269.324,438.006,138.175,259.784
ENSMUSG00000061759,1488.78,1793.12,1076.32,1186.36,1228.67,1576.38,881.02,1849.89,610.14,835.721
ENSMUSG00000026721,1923.47,2465.62,1466.81,1496.86,1348.55,1713.52,843.44,1728.2,606.177,1195.54
ENSMUSG00000041445,2110.78,2466.41,1806.07,1793.6,2140.16,2512.56,1171.3,2035.24,724.33,1172.06
ENSMUSG00000038024,2389,2980.65,2260,2436.89,2868.07,3329.4,1898.11,3751.62,1296.78,1884.63
ENSMUSG00000022799,156.024,217.237,153.669,155.981,182.89,220.675,114.898,234.381,77.9648,149.432
ENSMUSG00000043067,74.4739,88.6317,84.8318,71.1135,128.055,153.501,85.5199,195.011,68.1077,123.054
ENSMUSG00000021922,2196.95,1953.33,10963.2,9525.36,22024.3,19922.5,3319.38,4222.65,1202.49,1778.02
ENSMUSG00000071573,664.501,808.798,490.145,500.836,334.002,418.948,187.964,329.232,161.669,292.688
ENSMUSG00000024251,620.65,755.381,678.09,607.974,933.765,1012.89,446.897,1155.76,293.872,636.169
ENSMUSG00000013236,1063.84,1134.81,338.123,264.929,419.928,576.74,295.662,601.199,268.895,584.789
ENSMUSG00000078695,3084.57,3791.55,2476.11,2462.41,1580.52,2429.76,942.632,1927.99,749.296,1351.03
ENSMUSG00000029047,459.025,645.563,420.253,370.994,338.044,401.513,137.551,344.823,114.635,223.04
ENSMUSG00000039813,164.721,196.821,149.726,164.266,252.554,226.336,167.988,272.667,90.1059,174.917
ENSMUSG00000038844,989.414,1294.65,962.832,913.975,1116.44,1324.71,745.514,1486.63,490.531,773.354
ENSMUSG00000073016,369.771,307.227,316.36,296.387,420.269,526.788,293.642,570.162,177.703,273.061
ENSMUSG00000035649,35.4355,51.5181,49.8724,56.6166,66.3231,64.7999,38.1361,70.8165,21.9749,32.3684
