id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000037686,947.551,726.611,248.242,264.337,328.942,299.652,228.49,145.06,98.5993,73.6054
ENSMUSG00000027831,862.786,723.125,533.93,685.522,715.995,616.029,508.487,379.844,450.574,523.818
ENSMUSG00000031095,3200.78,2861.29,4164.02,4712.34,4375.69,3405.46,4387.3,3949.9,3475.99,3261.43
ENSMUSG00000034931,1077.79,1114.61,1534.6,1710.46,1610.67,1512.13,1709.42,1718.3,1776.72,1891.66
ENSMUSG00000074582,8072.54,6993.57,7062.99,7940.43,7465.77,6168.66,7165.16,5999.39,5070.07,4830.31
ENSMUSG00000018363,783.321,725.478,884.751,998.636,950.886,771.647,828.218,782.808,761.006,741.284
ENSMUSG00000053580,2124.29,1816.14,1385.36,1394.25,1506.94,1305.15,1341.87,1219.75,1140.36,1224.67
ENSMUSG00000034685,23.4588,20.6916,34.4725,29.8549,27.7895,39.1734,45.6663,42.1794,49.525,44.6052
ENSMUSG00000020687,820.38,792.888,1211.61,1515.98,1260.13,1118.38,1220.78,1314.15,1089.42,1193.07
ENSMUSG00000050910,109.12,98.3702,280.682,316.314,278.318,283.994,385.149,330.174,471.042,454.433
ENSMUSG00000042446,842.858,795.636,1161.42,1462.86,1327.68,1309.05,1353.74,1434.74,1289.13,1495.64
ENSMUSG00000050390,1039.26,990.917,821.836,968.45,856.715,960.884,1026.24,736.901,870.119,592.963
ENSMUSG00000020758,605.151,503.724,2002.62,1978.34,1812.07,1495.5,2100.6,1881.62,3905.1,3369.49
ENSMUSG00000005045,3687.2,3177.36,3672.39,4039.27,3943,3444.8,3694.35,3736.67,3600.67,3799.52
ENSMUSG00000033295,4493.02,4142.84,3421.11,3453.79,3459.99,3972.71,3926.42,3038.08,2554.1,2482.97
ENSMUSG00000044700,321.929,362.001,394.776,474.792,404.182,423.709,484.895,498.5,489.175,505.639
ENSMUSG00000028559,2869.61,2380.31,2650.85,2728.72,2730,2204.84,2670.8,2426.84,2473.94,2223.59
ENSMUSG00000039410,98.592,120.122,135.573,130.714,124.5,165.346,211.482,148.639,169.737,150.54
ENSMUSG00000033253,217.856,213.9,227.616,287.653,244.631,228.345,272.833,261.227,205.858,212.467
ENSMUSG00000037270,589.942,579.548,615.074,714.425,662.17,549.759,579.071,552.458,461.082,491.106
ENSMUSG00000040711,92.0371,70.2514,268.294,304.797,268.927,243.305,341.275,354.025,447.027,440.006
ENSMUSG00000034255,364.713,334.562,403.881,483.798,443.117,422.948,503.264,481.498,376.207,354.204
ENSMUSG00000064127,758.641,701.444,1114.98,1300.8,1185.45,1099.65,1236.04,1231.31,1059.8,1107.89
ENSMUSG00000051557,205.476,182.065,212.807,255.398,221.634,214.61,237.982,240.95,159.361,159.582
ENSMUSG00000078515,1947.57,1664.88,1949.47,2331.63,2134.27,1976.59,1708.96,1823.56,1868.14,1768.63
ENSMUSG00000031093,857.114,742.572,1142.41,1226.84,1138.96,1162.87,1340.85,1299.23,1425.71,1511.41
ENSMUSG00000073139,264.552,215.806,213.929,240.173,245.954,214.045,257.186,201.029,209.325,210.156
ENSMUSG00000044150,53.7726,50.4606,92.5595,120.572,95.5496,94.663,114.431,117.907,104.215,114.115
ENSMUSG00000079487,422.632,421.487,618.432,747.942,655.975,667.108,698.336,709.389,608.668,715.655
ENSMUSG00000040506,107.977,103.956,126.636,130.246,137.336,128.301,129.85,137.892,115.41,115.939
ENSMUSG00000026933,370.349,367.804,621.457,767.015,656.794,520.162,580.878,617.248,615.411,530.807
