mirna,A178_day3,A180_day7,A181_day7,A189_day14,A196_normal,A200_normal,A201_normal,A74_day3,A75_day3,A80_day7,A84_day14,A85_day14
mmu-let-7a-1-3p,695,872,480,448,521,723,543,824,552,550,692,447
mmu-let-7a-2-3p,0,0,2,3,0,0,0,0,2,2,0,0
mmu-let-7a-5p,40161,45826,29992,33112,30441,33515,22278,39657,25238,32382,34455,19740
mmu-let-7b-3p,623,821,398,410,536,880,425,676,438,531,690,372
mmu-let-7b-5p,14378,16658,10852,12955,10053,11691,8034,13621,8242,11004,11885,7080
mmu-let-7c-1-3p,9,15,8,7,8,8,9,12,8,4,23,8
mmu-let-7c-2-3p,695,872,480,448,521,723,543,824,552,550,692,447
mmu-let-7c-5p,55056,62545,41927,50123,35455,39673,24838,52531,31179,41424,43612,24859
mmu-let-7d-3p,3368,4293,2406,2227,2443,2632,1630,4058,2048,2664,2930,1501
mmu-let-7d-5p,8448,10544,6287,6561,6820,8026,5435,7639,4981,6685,6895,3726
mmu-let-7e-3p,100,138,71,79,69,100,61,120,85,103,115,46
mmu-let-7e-5p,4251,6020,3358,4112,2134,2680,1796,4430,2832,4309,3882,2191
mmu-let-7f-1-3p,158,158,92,90,118,174,98,182,82,126,115,72
mmu-let-7f-2-3p,243,339,189,201,215,275,165,298,169,206,281,153
mmu-let-7f-5p,118188,157384,83325,88133,96866,104845,73322,115449,76050,100405,115223,60469
mmu-let-7g-3p,55,83,39,42,53,71,38,71,33,42,46,40
mmu-let-7g-5p,27989,31576,19935,19328,24926,28314,20148,27604,17690,21157,23974,14486
mmu-let-7i-3p,118,180,82,111,42,65,36,125,64,137,109,44
mmu-let-7i-5p,43284,59233,34087,40052,11535,13910,8631,45964,31611,45361,32991,16397
mmu-let-7j,15,28,18,21,3,5,3,22,7,21,15,3
mmu-miR-100-3p,3,6,4,4,0,2,0,2,0,0,2,0
mmu-miR-100-5p,465,940,583,840,343,682,1200,535,453,780,937,576
mmu-miR-101a-3p,39771,54919,31170,29946,47561,69122,40037,39556,25680,32111,43450,25589
mmu-miR-101a-5p,159,174,105,103,191,280,195,125,92,112,142,85
mmu-miR-101b-3p,2358,3997,1991,2105,2553,3668,2065,2468,1604,2023,2526,1412
mmu-miR-101c,7,8,12,5,19,21,17,7,2,2,7,3
mmu-miR-103-2-5p,2,2,2,2,0,0,0,0,0,2,0,4
mmu-miR-103-3p,12742,19817,10042,10498,11599,16321,9242,12761,8856,12493,13509,7944
mmu-miR-106a-5p,22,30,10,18,29,46,30,26,11,10,36,17
mmu-miR-106b-3p,418,513,357,317,206,272,146,423,271,337,302,151
mmu-miR-106b-5p,654,2132,618,542,334,465,346,799,432,756,552,309
mmu-miR-107-3p,7700,9839,4979,4337,10169,13978,7902,7215,4913,4984,8128,4756
mmu-miR-107-5p,30,12,10,9,19,16,14,15,5,7,18,4
mmu-miR-10a-3p,556,984,615,605,395,722,488,634,425,806,877,474
mmu-miR-10a-5p,594163,973477,578114,668515,414573,781369,486311,700443,486010,953885,948081,559612
mmu-miR-10b-3p,87,142,92,86,64,134,102,129,51,75,124,59
mmu-miR-10b-5p,454311,684404,414456,481128,426633,766711,407922,506425,353127,629652,749951,450399
mmu-miR-1191a,22,26,20,13,21,25,15,26,14,21,25,7
mmu-miR-1191b-5p,6,12,7,7,12,8,9,12,7,9,6,2
mmu-miR-1194,3,10,2,3,2,3,6,12,6,8,4,2
mmu-miR-1198-3p,0,2,0,0,0,0,0,0,0,0,0,0
