mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-let-7a-1-3p,1590,1121,1288,1099,2308,2387,2469,2442,1954,1031,1825,1188,815,1417,1521
mmu-let-7a-2-3p,6,8,8,3,7,0,0,2,0,2,2,2,2,0,2
mmu-let-7a-5p,136638,109850,173559,138338,118357,162442,155014,163751,148735,119605,166432,124664,54582,104171,75272
mmu-let-7b-3p,2440,2139,2545,1910,2390,3110,2380,2669,3524,1906,3260,3035,1114,1911,1651
mmu-let-7b-5p,52636,41996,59884,57708,44466,48598,53376,61614,53643,34329,56035,39395,22462,35677,29243
mmu-let-7c-1-3p,33,33,46,37,66,43,55,65,66,23,54,51,13,40,12
mmu-let-7c-2-3p,1590,1121,1288,1099,2308,2387,2469,2442,1954,1031,1825,1188,815,1417,1521
mmu-let-7c-5p,184412,148939,231744,201974,137177,172729,184906,199055,168323,122808,192999,138185,66817,112236,86756
mmu-let-7d-3p,9398,7312,9632,8856,9554,11157,9378,11186,13823,7598,13401,11139,4284,7955,5413
mmu-let-7d-5p,28031,23307,31544,29032,31663,37717,35196,38665,37272,25795,39706,28238,12515,26004,18797
mmu-let-7e-3p,437,309,443,363,398,393,343,372,416,299,498,438,121,164,145
mmu-let-7e-5p,26058,18921,30968,23927,17337,21789,21105,21572,19455,17655,29211,23370,4393,7756,6608
mmu-let-7f-1-3p,430,253,360,274,616,713,624,630,692,353,561,454,251,411,356
mmu-let-7f-2-3p,391,253,324,264,665,557,708,511,432,213,457,378,193,306,411
mmu-let-7f-5p,369774,272931,420839,296900,352241,412918,343782,380987,382070,281667,479630,440333,126309,240678,194028
mmu-let-7g-3p,112,76,104,82,175,199,154,138,168,61,158,113,102,151,124
mmu-let-7g-5p,62241,43512,60607,52760,80691,97370,88831,89491,85628,55477,81016,59823,41661,78115,63106
mmu-let-7i-3p,454,390,523,506,352,312,391,415,378,139,437,325,107,127,133
mmu-let-7i-5p,202006,163192,234003,173110,134125,138617,133800,135418,110336,111451,195506,188927,17519,26974,24190
mmu-let-7j,24,13,39,52,16,7,11,10,13,16,15,24,0,2,0
mmu-miR-100-3p,15,10,18,11,13,8,3,6,10,2,7,13,0,3,0
mmu-miR-100-5p,3569,3081,4905,3487,2299,2520,2108,2409,2732,2050,3467,2337,792,972,1023
mmu-miR-101a-3p,41916,29676,29843,23989,77061,73083,78501,64052,47959,19524,43200,36558,31105,49874,61988
